KommuneNr.;5620;5626;5618;5630;5624;5632;5603;5616;5634;5628;5614;5622;5636;5607;5542;5534;5601;5546;5544;5605;5501;5536;5540;5610;5538;5530;5532;1871;5526;5612;5524;5528;1868;5522;5520;5514;5503;5518;5510;1870;5516;1576;5512;1866;1853;1851;1806;1865;1528;1859;1875;1874;1848;1857;1856;4646;1804;1841;1838;1840;1839;1837;1836;1835;1834;1833;1828;1827;1832;1822;1818;1820;1824;1816;1815;1826;1813;1825;4628;1811;1860;5060;5043;5044;5046;5049;5047;5045;5007;5042;5020;5041;5052;5006;3414;5038;5014;5057;5037;5054;5036;5056;5035;5034;5031;1573;5001;5029;5059;1134;5055;5032;5028;1505;5061;1554;1560;1867;1566;5027;1557;1579;5026;5022;1547;1506;1563;5021;5025;1535;1580;1539;1532;1508;3430;1531;4626;3426;1517;1516;1578;1515;3427;1525;1514;1520;3432;3429;3428;1577;1511;3431;4649;3433;4651;3425;3435;4648;3434;3437;3424;4650;4602;3436;3423;3439;3438;4647;4644;4645;3421;1845;4643;3441;3440;4640;3422;3453;3454;4637;4638;3405;4642;4636;4639;3452;3450;3411;4635;3451;3448;3420;4641;3326;3412;4634;4629;3407;3403;4632;4633;3324;3449;3419;3413;3447;3443;3328;4621;3442;4631;3418;5053;4620;3322;3330;4630;3417;4627;3242;4619;1812;3320;3446;4623;4601;3310;4622;3240;3338;3234;3236;3415;3238;3305;3401;3332;4624;3318;3209;5058;4618;3230;3228;4625;3232;3336;4616;3416;3205;3316;4026;3222;3224;3201;301;4615;4617;3226;3334;3212;3312;4614;3220;3203;3314;3207;4613;3301;4036;4024;4611;5033;3214;1135;3303;3118;4005;4612;3216;1160;3903;4022;4222;3122;3116;3114;3218;4034;4020;3103;1106;3120;3901;1146;4028;3112;1151;3905;1149;4018;4010;3105;3124;3107;1145;1133;4003;3911;4221;3907;4032;3101;4001;4016;3909;3110;1144;4030;1130;4012;1127;1103;1124;4014;1108;4211;4228;4220;1122;4217;1120;4212;4224;1121;4201;1114;4213;1119;4219;4214;1112;4203;1101;4218;4226;4216;4227;1111;4202;4207;4223;4215;4225;4204;4206;4205
5620;;5 hours 35 mins;2 hours 43 mins;7 hours 17 mins;5 hours 45 mins;6 hours 53 mins;2 hours 46 mins;6 hours 42 mins;7 hours 25 mins;5 hours 25 mins;4 hours 54 mins;2 hours 26 mins;5 hours 39 mins;6 hours 22 mins;6 hours 16 mins;9 hours 46 mins;3 hours 4 mins;4 hours 24 mins;5 hours 31 mins;6 hours 59 mins;8 hours 47 mins;7 hours 5 mins;6 hours 13 mins;3 hours 25 mins;7 hours 22 mins;8 hours 55 mins;7 hours 56 mins;11 hours 50 mins;8 hours 56 mins;4 hours 47 mins;8 hours 22 mins;9 hours 24 mins;12 hours 52 mins;9 hours 22 mins;8 hours 56 mins;10 hours 9 mins;10 hours 59 mins;9 hours 32 mins;11 hours 14 mins;12 hours 19 mins;9 hours 43 mins;22 hours 58 mins;10 hours 33 mins;12 hours 43 mins;10 hours 7 mins;11 hours 27 mins;10 hours 0 mins;12 hours 51 mins;1 day 3 hours;14 hours 23 mins;12 hours 29 mins;14 hours 52 mins;13 hours 25 mins;16 hours 41 mins;18 hours 32 mins;1 day 5 hours;14 hours 59 mins;14 hours 11 mins;15 hours 43 mins;14 hours 40 mins;15 hours 26 mins;16 hours 6 mins;17 hours 38 mins;13 hours 4 mins;18 hours 15 mins;16 hours 16 mins;17 hours 12 mins;18 hours 34 mins;16 hours 47 mins;17 hours 27 mins;18 hours 41 mins;17 hours 45 mins;16 hours 51 mins;18 hours 50 mins;19 hours 8 mins;15 hours 45 mins;18 hours 0 mins;16 hours 14 mins;1 day 5 hours;19 hours 21 mins;13 hours 55 mins;19 hours 49 mins;17 hours 16 mins;17 hours 13 mins;18 hours 15 mins;19 hours 50 mins;18 hours 31 mins;18 hours 11 mins;18 hours 55 mins;18 hours 1 min;19 hours 58 mins;18 hours 36 mins;20 hours 9 mins;19 hours 14 mins;23 hours 46 mins;19 hours 41 mins;22 hours 56 mins;21 hours 15 mins;19 hours 50 mins;20 hours 42 mins;20 hours 23 mins;22 hours 32 mins;20 hours 29 mins;19 hours 37 mins;20 hours 37 mins;1 day 0 hours;20 hours 59 mins;21 hours 15 mins;21 hours 25 mins;1 day 7 hours;22 hours 17 mins;20 hours 54 mins;21 hours 7 mins;1 day 0 hours;22 hours 14 mins;1 day 0 hours;23 hours 45 mins;13 hours 6 mins;22 hours 36 mins;21 hours 32 mins;23 hours 55 mins;1 day 0 hours;21 hours 31 mins;21 hours 58 mins;1 day 1 hour;1 day 0 hours;23 hours 26 mins;22 hours 29 mins;21 hours 15 mins;1 day 1 hour;1 day 2 hours;1 day 1 hour;1 day 2 hours;1 day 2 hours;21 hours 29 mins;1 day 2 hours;1 day 6 hours;21 hours 42 mins;1 day 3 hours;1 day 3 hours;1 day 2 hours;1 day 4 hours;22 hours 0 mins;1 day 3 hours;1 day 4 hours;1 day 3 hours;23 hours 43 mins;22 hours 50 mins;22 hours 19 mins;1 day 3 hours;1 day 4 hours;23 hours 41 mins;1 day 3 hours;1 day 1 hour;1 day 2 hours;21 hours 58 mins;1 day 0 hours;1 day 4 hours;1 day 1 hour;1 day 0 hours;23 hours 6 mins;1 day 4 hours;1 day 5 hours;1 day 0 hours;22 hours 58 mins;23 hours 53 mins;1 day 0 hours;1 day 4 hours;1 day 3 hours;1 day 5 hours;22 hours 2 mins;14 hours 0 mins;1 day 3 hours;1 day 0 hours;1 day 0 hours;1 day 3 hours;23 hours 7 mins;1 day 1 hour;1 day 2 hours;1 day 6 hours;1 day 5 hours;23 hours 54 mins;1 day 3 hours;1 day 7 hours;1 day 4 hours;1 day 1 hour;1 day 1 hour;23 hours 20 mins;1 day 7 hours;1 day 1 hour;1 day 0 hours;22 hours 48 mins;1 day 3 hours;1 day 2 hours;23 hours 1 min;1 day 7 hours;1 day 6 hours;23 hours 44 mins;23 hours 15 mins;1 day 7 hours;1 day 7 hours;1 day 2 hours;1 day 1 hour;23 hours 10 mins;23 hours 16 mins;1 day 0 hours;23 hours 53 mins;1 day 2 hours;1 day 4 hours;1 day 0 hours;1 day 6 hours;23 hours 19 mins;19 hours 33 mins;1 day 4 hours;1 day 2 hours;1 day 2 hours;1 day 6 hours;23 hours 22 mins;1 day 6 hours;23 hours 50 mins;1 day 4 hours;18 hours 12 mins;1 day 2 hours;1 day 0 hours;1 day 6 hours;1 day 6 hours;1 day 1 hour;1 day 5 hours;23 hours 44 mins;1 day 3 hours;1 day 0 hours;1 day 1 hour;23 hours 40 mins;23 hours 57 mins;1 day 1 hour;23 hours 26 mins;1 day 2 hours;1 day 6 hours;1 day 1 hour;23 hours 54 mins;20 hours 42 mins;1 day 4 hours;1 day 0 hours;23 hours 58 mins;1 day 7 hours;1 day 0 hours;1 day 2 hours;1 day 7 hours;23 hours 37 mins;1 day 0 hours;1 day 1 hour;1 day 3 hours;1 day 0 hours;1 day 0 hours;1 day 1 hour;1 day 0 hours;1 day 7 hours;1 day 6 hours;1 day 0 hours;1 day 2 hours;1 day 1 hour;1 day 1 hour;1 day 7 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 7 hours;1 day 1 hour;1 day 3 hours;1 day 2 hours;1 day 6 hours;21 hours 33 mins;1 day 1 hour;1 day 6 hours;1 day 1 hour;1 day 1 hour;1 day 2 hours;1 day 7 hours;1 day 1 hour;1 day 6 hours;1 day 1 hour;1 day 3 hours;1 day 5 hours;1 day 0 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 3 hours;1 day 2 hours;1 day 1 hour;1 day 7 hours;1 day 1 hour;1 day 2 hours;1 day 7 hours;1 day 3 hours;1 day 1 hour;1 day 8 hours;1 day 2 hours;1 day 7 hours;1 day 3 hours;1 day 2 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 7 hours;1 day 7 hours;1 day 2 hours;1 day 2 hours;1 day 4 hours;1 day 2 hours;1 day 4 hours;1 day 1 hour;1 day 2 hours;1 day 3 hours;1 day 2 hours;1 day 2 hours;1 day 8 hours;1 day 4 hours;1 day 7 hours;1 day 2 hours;1 day 7 hours;1 day 7 hours;1 day 7 hours;1 day 3 hours;1 day 7 hours;1 day 3 hours;1 day 6 hours;1 day 5 hours;1 day 7 hours;1 day 4 hours;1 day 7 hours;1 day 3 hours;1 day 5 hours;1 day 7 hours;1 day 3 hours;1 day 7 hours;1 day 3 hours;1 day 7 hours;1 day 4 hours;1 day 3 hours;1 day 6 hours;1 day 3 hours;1 day 6 hours;1 day 4 hours;1 day 5 hours;1 day 4 hours;1 day 5 hours;1 day 6 hours;1 day 4 hours;1 day 5 hours;1 day 4 hours;1 day 4 hours;1 day 5 hours;1 day 4 hours;1 day 5 hours;1 day 4 hours
5626;5 hours 35 mins;;5 hours 21 mins;4 hours 37 mins;30 mins;4 hours 13 mins;5 hours 16 mins;9 hours 12 mins;4 hours 45 mins;2 hours 44 mins;7 hours 24 mins;3 hours 7 mins;2 hours 59 mins;3 hours 42 mins;8 hours 46 mins;12 hours 16 mins;5 hours 34 mins;6 hours 54 mins;8 hours 1 min;4 hours 40 mins;11 hours 17 mins;9 hours 35 mins;8 hours 43 mins;4 hours 3 mins;9 hours 52 mins;11 hours 24 mins;10 hours 26 mins;14 hours 19 mins;11 hours 25 mins;5 hours 41 mins;10 hours 52 mins;11 hours 54 mins;15 hours 5 mins;11 hours 52 mins;11 hours 26 mins;12 hours 39 mins;13 hours 12 mins;12 hours 2 mins;13 hours 28 mins;14 hours 32 mins;12 hours 12 mins;23 hours 53 mins;12 hours 46 mins;14 hours 56 mins;12 hours 20 mins;13 hours 41 mins;11 hours 58 mins;15 hours 4 mins;1 day 3 hours;16 hours 36 mins;14 hours 27 mins;17 hours 5 mins;15 hours 23 mins;18 hours 54 mins;20 hours 34 mins;1 day 6 hours;16 hours 57 mins;16 hours 9 mins;17 hours 41 mins;16 hours 11 mins;16 hours 53 mins;18 hours 3 mins;19 hours 35 mins;15 hours 1 min;19 hours 10 mins;17 hours 10 mins;18 hours 7 mins;19 hours 28 mins;17 hours 42 mins;18 hours 22 mins;19 hours 36 mins;18 hours 40 mins;17 hours 46 mins;19 hours 45 mins;20 hours 2 mins;16 hours 40 mins;18 hours 55 mins;17 hours 9 mins;1 day 6 hours;20 hours 16 mins;16 hours 8 mins;20 hours 44 mins;18 hours 11 mins;18 hours 8 mins;19 hours 10 mins;20 hours 45 mins;19 hours 26 mins;19 hours 6 mins;19 hours 50 mins;18 hours 56 mins;20 hours 53 mins;19 hours 31 mins;21 hours 4 mins;20 hours 9 mins;1 day 1 hour;20 hours 36 mins;23 hours 51 mins;22 hours 10 mins;20 hours 45 mins;21 hours 37 mins;21 hours 18 mins;23 hours 27 mins;21 hours 24 mins;20 hours 32 mins;21 hours 32 mins;1 day 1 hour;21 hours 54 mins;22 hours 9 mins;22 hours 20 mins;1 day 8 hours;23 hours 12 mins;21 hours 49 mins;22 hours 2 mins;1 day 1 hour;23 hours 9 mins;1 day 1 hour;1 day 1 hour;15 hours 19 mins;23 hours 31 mins;22 hours 27 mins;1 day 1 hour;1 day 1 hour;22 hours 26 mins;22 hours 53 mins;1 day 2 hours;1 day 1 hour;1 day 0 hours;23 hours 24 mins;22 hours 10 mins;1 day 2 hours;1 day 3 hours;1 day 2 hours;1 day 3 hours;1 day 3 hours;22 hours 24 mins;1 day 3 hours;1 day 7 hours;22 hours 37 mins;1 day 4 hours;1 day 4 hours;1 day 3 hours;1 day 5 hours;22 hours 55 mins;1 day 4 hours;1 day 4 hours;1 day 4 hours;1 day 1 hour;23 hours 44 mins;23 hours 14 mins;1 day 4 hours;1 day 5 hours;1 day 1 hour;1 day 4 hours;1 day 2 hours;1 day 3 hours;22 hours 53 mins;1 day 1 hour;1 day 5 hours;1 day 2 hours;1 day 1 hour;1 day 0 hours;1 day 5 hours;1 day 6 hours;1 day 1 hour;23 hours 53 mins;1 day 1 hour;1 day 1 hour;1 day 5 hours;1 day 4 hours;1 day 6 hours;22 hours 57 mins;15 hours 58 mins;1 day 4 hours;1 day 1 hour;1 day 1 hour;1 day 4 hours;1 day 0 hours;1 day 2 hours;1 day 3 hours;1 day 6 hours;1 day 6 hours;1 day 1 hour;1 day 4 hours;1 day 8 hours;1 day 5 hours;1 day 2 hours;1 day 2 hours;1 day 0 hours;1 day 7 hours;1 day 2 hours;1 day 1 hour;23 hours 43 mins;1 day 4 hours;1 day 3 hours;23 hours 56 mins;1 day 8 hours;1 day 7 hours;1 day 1 hour;1 day 0 hours;1 day 7 hours;1 day 8 hours;1 day 3 hours;1 day 2 hours;1 day 0 hours;1 day 0 hours;1 day 1 hour;1 day 1 hour;1 day 3 hours;1 day 5 hours;1 day 1 hour;1 day 7 hours;1 day 0 hours;20 hours 28 mins;1 day 5 hours;1 day 3 hours;1 day 3 hours;1 day 7 hours;1 day 0 hours;1 day 7 hours;1 day 1 hour;1 day 5 hours;19 hours 7 mins;1 day 2 hours;1 day 1 hour;1 day 6 hours;1 day 7 hours;1 day 2 hours;1 day 6 hours;1 day 1 hour;1 day 4 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 2 hours;1 day 0 hours;1 day 2 hours;1 day 7 hours;1 day 2 hours;1 day 1 hour;21 hours 37 mins;1 day 5 hours;1 day 1 hour;1 day 1 hour;1 day 8 hours;1 day 1 hour;1 day 3 hours;1 day 8 hours;1 day 1 hour;1 day 1 hour;1 day 2 hours;1 day 4 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 8 hours;1 day 7 hours;1 day 1 hour;1 day 3 hours;1 day 2 hours;1 day 2 hours;1 day 8 hours;1 day 2 hours;1 day 2 hours;1 day 2 hours;1 day 2 hours;1 day 8 hours;1 day 2 hours;1 day 4 hours;1 day 3 hours;1 day 7 hours;22 hours 28 mins;1 day 2 hours;1 day 7 hours;1 day 2 hours;1 day 2 hours;1 day 3 hours;1 day 8 hours;1 day 2 hours;1 day 7 hours;1 day 2 hours;1 day 4 hours;1 day 6 hours;1 day 1 hour;1 day 2 hours;1 day 2 hours;1 day 2 hours;1 day 4 hours;1 day 3 hours;1 day 2 hours;1 day 8 hours;1 day 2 hours;1 day 2 hours;1 day 7 hours;1 day 4 hours;1 day 2 hours;1 day 9 hours;1 day 3 hours;1 day 8 hours;1 day 3 hours;1 day 3 hours;1 day 2 hours;1 day 2 hours;1 day 2 hours;1 day 8 hours;1 day 8 hours;1 day 3 hours;1 day 3 hours;1 day 5 hours;1 day 3 hours;1 day 5 hours;1 day 2 hours;1 day 3 hours;1 day 4 hours;1 day 3 hours;1 day 3 hours;1 day 9 hours;1 day 5 hours;1 day 8 hours;1 day 3 hours;1 day 8 hours;1 day 8 hours;1 day 8 hours;1 day 4 hours;1 day 8 hours;1 day 4 hours;1 day 7 hours;1 day 6 hours;1 day 8 hours;1 day 5 hours;1 day 8 hours;1 day 4 hours;1 day 6 hours;1 day 8 hours;1 day 4 hours;1 day 7 hours;1 day 4 hours;1 day 8 hours;1 day 5 hours;1 day 4 hours;1 day 7 hours;1 day 4 hours;1 day 7 hours;1 day 5 hours;1 day 6 hours;1 day 5 hours;1 day 6 hours;1 day 7 hours;1 day 4 hours;1 day 6 hours;1 day 5 hours;1 day 5 hours;1 day 6 hours;1 day 5 hours;1 day 6 hours;1 day 5 hours
5618;2 hours 43 mins;5 hours 21 mins;;7 hours 5 mins;5 hours 33 mins;6 hours 40 mins;2 hours 34 mins;6 hours 29 mins;7 hours 12 mins;5 hours 12 mins;4 hours 41 mins;2 hours 13 mins;5 hours 27 mins;6 hours 9 mins;6 hours 3 mins;9 hours 34 mins;2 hours 51 mins;4 hours 12 mins;5 hours 18 mins;6 hours 46 mins;8 hours 35 mins;6 hours 52 mins;6 hours 0 mins;3 hours 13 mins;7 hours 9 mins;8 hours 42 mins;7 hours 43 mins;11 hours 37 mins;8 hours 43 mins;4 hours 34 mins;8 hours 9 mins;9 hours 12 mins;12 hours 39 mins;9 hours 9 mins;8 hours 43 mins;9 hours 57 mins;10 hours 46 mins;9 hours 19 mins;11 hours 2 mins;12 hours 6 mins;9 hours 30 mins;22 hours 46 mins;10 hours 20 mins;12 hours 30 mins;9 hours 54 mins;11 hours 15 mins;9 hours 47 mins;12 hours 38 mins;1 day 2 hours;14 hours 10 mins;12 hours 16 mins;14 hours 39 mins;13 hours 13 mins;16 hours 29 mins;18 hours 20 mins;1 day 5 hours;14 hours 47 mins;13 hours 59 mins;15 hours 30 mins;14 hours 28 mins;15 hours 13 mins;15 hours 53 mins;17 hours 25 mins;12 hours 51 mins;18 hours 2 mins;16 hours 3 mins;17 hours 0 mins;18 hours 21 mins;16 hours 35 mins;17 hours 14 mins;18 hours 28 mins;17 hours 33 mins;16 hours 39 mins;18 hours 38 mins;18 hours 55 mins;15 hours 33 mins;17 hours 47 mins;16 hours 2 mins;1 day 5 hours;19 hours 9 mins;13 hours 42 mins;19 hours 37 mins;17 hours 4 mins;17 hours 1 min;18 hours 2 mins;19 hours 38 mins;18 hours 18 mins;17 hours 59 mins;18 hours 43 mins;17 hours 48 mins;19 hours 46 mins;18 hours 23 mins;19 hours 56 mins;19 hours 1 min;23 hours 33 mins;19 hours 29 mins;22 hours 43 mins;21 hours 2 mins;19 hours 38 mins;20 hours 29 mins;20 hours 10 mins;22 hours 20 mins;20 hours 16 mins;19 hours 24 mins;20 hours 24 mins;1 day 0 hours;20 hours 47 mins;21 hours 2 mins;21 hours 12 mins;1 day 6 hours;22 hours 4 mins;20 hours 42 mins;20 hours 54 mins;1 day 0 hours;22 hours 2 mins;1 day 0 hours;23 hours 32 mins;12 hours 53 mins;22 hours 23 mins;21 hours 20 mins;23 hours 42 mins;1 day 0 hours;21 hours 19 mins;21 hours 46 mins;1 day 1 hour;1 day 0 hours;23 hours 13 mins;22 hours 17 mins;21 hours 2 mins;1 day 1 hour;1 day 2 hours;1 day 1 hour;1 day 2 hours;1 day 2 hours;21 hours 16 mins;1 day 2 hours;1 day 6 hours;21 hours 29 mins;1 day 3 hours;1 day 3 hours;1 day 2 hours;1 day 3 hours;21 hours 47 mins;1 day 2 hours;1 day 3 hours;1 day 3 hours;23 hours 30 mins;22 hours 37 mins;22 hours 6 mins;1 day 3 hours;1 day 4 hours;23 hours 28 mins;1 day 3 hours;1 day 1 hour;1 day 2 hours;21 hours 46 mins;1 day 0 hours;1 day 4 hours;1 day 0 hours;23 hours 54 mins;22 hours 53 mins;1 day 3 hours;1 day 5 hours;1 day 0 hours;22 hours 45 mins;23 hours 40 mins;23 hours 51 mins;1 day 4 hours;1 day 2 hours;1 day 5 hours;21 hours 50 mins;13 hours 48 mins;1 day 3 hours;23 hours 55 mins;23 hours 52 mins;1 day 3 hours;22 hours 54 mins;1 day 1 hour;1 day 2 hours;1 day 5 hours;1 day 5 hours;23 hours 41 mins;1 day 3 hours;1 day 7 hours;1 day 4 hours;1 day 1 hour;1 day 0 hours;23 hours 8 mins;1 day 6 hours;1 day 1 hour;1 day 0 hours;22 hours 35 mins;1 day 3 hours;1 day 2 hours;22 hours 49 mins;1 day 6 hours;1 day 6 hours;23 hours 31 mins;23 hours 2 mins;1 day 6 hours;1 day 7 hours;1 day 1 hour;1 day 1 hour;22 hours 58 mins;23 hours 3 mins;23 hours 56 mins;23 hours 40 mins;1 day 2 hours;1 day 4 hours;23 hours 48 mins;1 day 6 hours;23 hours 7 mins;19 hours 21 mins;1 day 4 hours;1 day 2 hours;1 day 2 hours;1 day 5 hours;23 hours 10 mins;1 day 6 hours;23 hours 37 mins;1 day 4 hours;18 hours 0 mins;1 day 1 hour;1 day 0 hours;1 day 5 hours;1 day 6 hours;1 day 1 hour;1 day 5 hours;23 hours 32 mins;1 day 3 hours;1 day 0 hours;1 day 0 hours;23 hours 27 mins;23 hours 44 mins;1 day 0 hours;23 hours 13 mins;1 day 1 hour;1 day 6 hours;1 day 1 hour;23 hours 42 mins;20 hours 30 mins;1 day 4 hours;23 hours 53 mins;23 hours 45 mins;1 day 7 hours;1 day 0 hours;1 day 2 hours;1 day 7 hours;23 hours 25 mins;1 day 0 hours;1 day 1 hour;1 day 3 hours;1 day 0 hours;1 day 0 hours;1 day 0 hours;1 day 0 hours;1 day 7 hours;1 day 6 hours;1 day 0 hours;1 day 2 hours;1 day 1 hour;1 day 1 hour;1 day 7 hours;1 day 0 hours;1 day 0 hours;1 day 1 hour;1 day 0 hours;1 day 7 hours;1 day 1 hour;1 day 3 hours;1 day 2 hours;1 day 6 hours;21 hours 20 mins;1 day 1 hour;1 day 5 hours;1 day 1 hour;1 day 1 hour;1 day 2 hours;1 day 6 hours;1 day 1 hour;1 day 6 hours;1 day 1 hour;1 day 2 hours;1 day 4 hours;1 day 0 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 3 hours;1 day 2 hours;1 day 1 hour;1 day 7 hours;1 day 1 hour;1 day 1 hour;1 day 6 hours;1 day 3 hours;1 day 1 hour;1 day 8 hours;1 day 1 hour;1 day 7 hours;1 day 2 hours;1 day 2 hours;1 day 1 hour;1 day 1 hour;1 day 1 hour;1 day 7 hours;1 day 7 hours;1 day 2 hours;1 day 1 hour;1 day 4 hours;1 day 2 hours;1 day 4 hours;1 day 1 hour;1 day 2 hours;1 day 3 hours;1 day 2 hours;1 day 2 hours;1 day 8 hours;1 day 3 hours;1 day 7 hours;1 day 2 hours;1 day 7 hours;1 day 7 hours;1 day 7 hours;1 day 3 hours;1 day 7 hours;1 day 3 hours;1 day 6 hours;1 day 5 hours;1 day 6 hours;1 day 3 hours;1 day 7 hours;1 day 3 hours;1 day 5 hours;1 day 7 hours;1 day 3 hours;1 day 6 hours;1 day 3 hours;1 day 7 hours;1 day 4 hours;1 day 3 hours;1 day 6 hours;1 day 3 hours;1 day 6 hours;1 day 4 hours;1 day 5 hours;1 day 4 hours;1 day 5 hours;1 day 6 hours;1 day 3 hours;1 day 5 hours;1 day 4 hours;1 day 3 hours;1 day 5 hours;1 day 4 hours;1 day 5 hours;1 day 4 hours
