Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter
3901;Horten;Horten;Vestfold;Horten, Horten, Vestfold
1146;Tysvær;Aksdal;Rogaland;Aksdal, Tysvær, Rogaland
4028;Kviteseid;Kviteseid;Telemark;Kviteseid, Kviteseid, Telemark
3112;Råde;Karlshus;Østfold;Karlshus, Råde, Østfold
1151;Utsira;Utsira;Rogaland;Utsira, Utsira, Rogaland
3905;Tønsberg;Tønsberg;Vestfold;Tønsberg, Tønsberg, Vestfold
1149;Karmøy;Kopervik;Rogaland;Kopervik, Karmøy, Rogaland
4018;Nome;Ulefoss;Telemark;Ulefoss, Nome, Telemark
4010;Siljan;Siljan;Telemark;Siljan, Siljan, Telemark
3105;Sarpsborg;Sarpsborg;Østfold;Sarpsborg, Sarpsborg, Østfold
3124;Aremark;Fossby;Østfold;Fossby, Aremark, Østfold
3107;Fredrikstad;Fredrikstad;Østfold;Fredrikstad, Fredrikstad, Østfold
1145;Bokn;Føresvik;Rogaland;Føresvik, Bokn, Rogaland
1133;Hjelmeland;Hjelmelandsvågen;Rogaland;Hjelmelandsvågen, Hjelmeland, Rogaland
4003;Skien;Skien;Telemark;Skien, Skien, Telemark
3911;Færder;Borgheim;Vestfold;Borgheim, Færder, Vestfold
4221;Valle;Valle;Agder;Valle, Valle, Agder
3907;Sandefjord;Sandefjord;Vestfold;Sandefjord, Sandefjord, Vestfold
4032;Fyresdal;Folkestadbyen;Telemark;Folkestadbyen, Fyresdal, Telemark
3101;Halden;Halden;Østfold;Halden, Halden, Østfold
4001;Porsgrunn;Porsgrunn;Telemark;Porsgrunn, Porsgrunn, Telemark
4016;Drangedal;Prestestranda;Telemark;Prestestranda, Drangedal, Telemark
3909;Larvik;Larvik;Vestfold;Larvik, Larvik, Vestfold
3110;Hvaler;Skjærhalden;Østfold;Skjærhalden, Hvaler, Østfold
1144;Kvitsøy;Ydstebøhavn;Rogaland;Ydstebøhavn, Kvitsøy, Rogaland
4030;Nissedal;Treungen;Telemark;Treungen, Nissedal, Telemark
1130;Strand;Jørpeland;Rogaland;Jørpeland, Strand, Rogaland
4012;Bamble;Langesund;Telemark;Langesund, Bamble, Telemark
1127;Randaberg;Randaberg;Rogaland;Randaberg, Randaberg, Rogaland
1103;Stavanger;Stavanger;Rogaland;Stavanger, Stavanger, Rogaland
1124;Sola;Solakrossen;Rogaland;Solakrossen, Sola, Rogaland
4014;Kragerø;Kragerø;Telemark;Kragerø, Kragerø, Telemark
1108;Sandnes;Sandnes;Rogaland;Sandnes, Sandnes, Rogaland
4211;Gjerstad;Gjerstad;Agder;Gjerstad, Gjerstad, Agder
4228;Sirdal;Tonstad;Agder;Tonstad, Sirdal, Agder
4220;Bygland;Bygland;Agder;Bygland, Bygland, Agder
1122;Gjesdal;Ålgård;Rogaland;Ålgård, Gjesdal, Rogaland
4217;Åmli;Åmli;Agder;Åmli, Åmli, Agder
1120;Klepp;Kleppe;Rogaland;Kleppe, Klepp, Rogaland
4212;Vegårshei;Myra;Agder;Myra, Vegårshei, Agder
4224;Åseral;Kyrkjebygda;Agder;Kyrkjebygda, Åseral, Agder
1121;Time;Bryne;Rogaland;Bryne, Time, Rogaland
4201;Risør;Risør;Agder;Risør, Risør, Agder
1114;Bjerkreim;Vikeså;Rogaland;Vikeså, Bjerkreim, Rogaland
4213;Tvedestrand;Tvedestrand;Agder;Tvedestrand, Tvedestrand, Agder
1119;Hå;Varhaug;Rogaland;Varhaug, Hå, Rogaland
4219;Evje og Hornnes;Evje;Agder;Evje, Evje og Hornnes, Agder
4214;Froland;Blakstad;Agder;Blakstad, Froland, Agder
1112;Lund;Moi;Rogaland;Moi, Lund, Rogaland
4203;Arendal;Arendal;Agder;Arendal, Arendal, Agder
1101;Eigersund;Egersund;Rogaland;Egersund, Eigersund, Rogaland
4218;Iveland;Birketveit;Agder;Birketveit, Iveland, Agder
4226;Hægebostad;Tingvatn;Agder;Tingvatn, Hægebostad, Agder
4216;Birkenes;Birkeland;Agder;Birkeland, Birkenes, Agder
4227;Kvinesdal;Liknes;Agder;Liknes, Kvinesdal, Agder
1111;Sokndal;Hauge;Rogaland;Hauge, Sokndal, Rogaland
4202;Grimstad;Grimstad;Agder;Grimstad, Grimstad, Agder
4207;Flekkefjord;Flekkefjord;Agder;Flekkefjord, Flekkefjord, Agder
4223;Vennesla;Vennesla;Agder;Vennesla, Vennesla, Agder
4215;Lillesand;Lillesand;Agder;Lillesand, Lillesand, Agder
4225;Lyngdal;Alleen;Agder;Alleen, Lyngdal, Agder
4204;Kristiansand;Kristiansand;Agder;Kristiansand, Kristiansand, Agder
4206;Farsund;Farsund;Agder;Farsund, Farsund, Agder
4205;Lindesnes;Mandal;Agder;Mandal, Lindesnes, Agder
