Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter;lat;lng
5007;Namsos;Namsos;Trøndelag;Namsos, Namsos, Trøndelag;64.4662906;11.4955928
5042;Lierne;Lierne;Trøndelag;Lierne, Lierne, Trøndelag;64.3600142;13.7165103
5020;Osen;Steinsdalen;Trøndelag;Steinsdalen, Osen, Trøndelag;64.29766430000001;10.5106221
5041;Snåsa;Snåsa;Trøndelag;Snåsa, Snåsa, Trøndelag;64.2465027;12.3822602
5052;Leka;Leknes;Trøndelag;Leknes, Leka, Trøndelag;65.0972817;11.701134
5006;Steinkjer;Steinkjer;Trøndelag;Steinkjer, Steinkjer, Trøndelag;64.01501929999999;11.4952627
3414;Nord-Odal;Sand;Innlandet;Sand, Nord-Odal, Innlandet;60.3961323;11.5418186
5038;Verdal;Verdalsøra;Trøndelag;Verdalsøra, Verdal, Trøndelag;63.7933506;11.4815726
5014;Frøya;Sistranda;Trøndelag;Sistranda, Frøya, Trøndelag;63.7278502;8.831325399999999
5057;Ørland;Brekstad;Trøndelag;Brekstad, Ørland, Trøndelag;63.6862525;9.6623489
5037;Levanger;Levanger;Trøndelag;Levanger, Levanger, Trøndelag;63.7463571;11.3004934
5054;Indre Fosen;Årnset;Trøndelag;Årnset, Indre Fosen, Trøndelag;63.58438419999999;9.9594949
5036;Frosta;Frosta;Trøndelag;Frosta, Frosta, Trøndelag;63.583683;10.760819
5056;Hitra;Fillan;Trøndelag;Fillan, Hitra, Trøndelag;63.6066075;8.9675537
5035;Stjørdal;Stjørdalshalsen;Trøndelag;Stjørdalshalsen, Stjørdal, Trøndelag;63.4712373;10.9188902
5034;Meråker;Midtbygda;Trøndelag;Midtbygda, Meråker, Trøndelag;63.41399749999999;11.7428655
5031;Malvik;Hommelvik;Trøndelag;Hommelvik, Malvik, Trøndelag;63.4108294;10.7942419
1573;Smøla;Hopen;Møre og Romsdal;Hopen, Smøla, Møre og Romsdal;63.4632219;8.0159715
5001;Trondheim;Trondheim;Trøndelag;Trondheim, Trondheim, Trøndelag;63.4305149;10.3950528
5029;Skaun;Børsa;Trøndelag;Børsa, Skaun, Trøndelag;63.32679829999999;10.0693321
5059;Orkland;Orkanger;Trøndelag;Orkanger, Orkland, Trøndelag;63.2999528;9.846820000000001
1134;Suldal;Sand;Rogaland;Sand, Suldal, Rogaland;59.48466430000001;6.251280700000001
5055;Heim;Kyrksæterøra;Trøndelag;Kyrksæterøra, Heim, Trøndelag;63.292781;9.0826007
5032;Selbu;Mebond;Trøndelag;Mebond, Selbu, Trøndelag;63.21923950000001;11.041315
5028;Melhus;Melhus;Trøndelag;Melhus, Melhus, Trøndelag;63.28554239999999;10.2781422
1505;Kristiansund;Kristiansund;Møre og Romsdal;Kristiansund, Kristiansund, Møre og Romsdal;63.11033459999999;7.728078999999999
5061;Rindal;Rindal;Trøndelag[22];Rindal, Rindal, Trøndelag[22];63.05674190000001;9.212157699999999
1554;Averøy;Bruhagen;Møre og Romsdal;Bruhagen, Averøy, Møre og Romsdal;63.0517172;7.6320419
1560;Tingvoll;Tingvoll;Møre og Romsdal;Tingvoll, Tingvoll, Møre og Romsdal;62.91318889999999;8.2056313
1867;Bø;Straume;Nordland;Straume, Bø, Nordland;68.687698;14.4829185
1566;Surnadal;Skei;Møre og Romsdal;Skei, Surnadal, Møre og Romsdal;62.9737894;8.7264947
5027;Midtre Gauldal;Støren;Trøndelag;Støren, Midtre Gauldal, Trøndelag;63.0382262;10.286986
1557;Gjemnes;Batnfjordsøra;Møre og Romsdal;Batnfjordsøra, Gjemnes, Møre og Romsdal;62.89271429999999;7.681804699999999
1579;Hustadvika;Elnesvågen;Møre og Romsdal;Elnesvågen, Hustadvika, Møre og Romsdal;62.85428870000001;7.1376221
5026;Holtålen;Ålen;Trøndelag;Ålen, Holtålen, Trøndelag;62.8428497;11.2999297
5022;Rennebu;Berkåk;Trøndelag;Berkåk, Rennebu, Trøndelag;62.8249533;10.0117697
1547;Aukra;Falkhytta;Møre og Romsdal;Falkhytta, Aukra, Møre og Romsdal;62.80591;6.887499999999999
1506;Molde;Molde;Møre og Romsdal;Molde, Molde, Møre og Romsdal;62.7402591;7.1808245
1563;Sunndal;Sunndalsøra;Møre og Romsdal;Sunndalsøra, Sunndal, Møre og Romsdal;62.67351660000001;8.5661121
5021;Oppdal;Oppdal;Trøndelag;Oppdal, Oppdal, Trøndelag;62.5941815;9.6912337
5025;Røros;Røros;Trøndelag;Røros, Røros, Trøndelag;62.5748112;11.3841068
1535;Vestnes;Vestnes;Møre og Romsdal;Vestnes, Vestnes, Møre og Romsdal;62.6259264;7.086719
1580;Haram;Brattvåg;Møre og Romsdal;Brattvåg, Haram, Møre og Romsdal;62.5962346;6.4459551
1539;Rauma;Åndalsnes;Møre og Romsdal;Åndalsnes, Rauma, Møre og Romsdal;62.56744610000001;7.68722
1532;Giske;Valderøya;Møre og Romsdal;Valderøya, Giske, Møre og Romsdal;62.5107976;6.1084025
1508;Ålesund;Ålesund;Møre og Romsdal;Ålesund, Ålesund, Møre og Romsdal;62.47222840000001;6.149482
3430;Os;Os;Innlandet;Os, Os, Innlandet;62.48239650000001;11.2394763
1531;Sula;Langevåg;Møre og Romsdal;Langevåg, Sula, Møre og Romsdal;62.44078469999999;6.1915121
4626;Øygarden;Straume;Vestland;Straume, Øygarden, Vestland;60.3571261;5.1242731
3426;Tolga;Tolga;Innlandet;Tolga, Tolga, Innlandet;62.4089307;10.99893
1517;Hareid;Hareid;Møre og Romsdal;Hareid, Hareid, Møre og Romsdal;62.3717009;6.0287332
1516;Ulstein;Ulsteinvik;Møre og Romsdal;Ulsteinvik, Ulstein, Møre og Romsdal;62.3433146;5.8488429
1578;Fjord;Sylte;Møre og Romsdal;Sylte, Fjord, Møre og Romsdal;62.3003856;7.2615269
1515;Herøy;Fosnavåg;Møre og Romsdal;Fosnavåg, Herøy, Møre og Romsdal;62.3413767;5.631069
3427;Tynset;Tynset;Innlandet;Tynset, Tynset, Innlandet;62.27597149999999;10.7825389
1525;Stranda;Stranda;Møre og Romsdal;Stranda, Stranda, Møre og Romsdal;62.3091141;6.9424091
1514;Sande;Larsnes;Møre og Romsdal;Larsnes, Sande, Møre og Romsdal;62.20655490000001;5.572011
1520;Ørsta;Ørsta;Møre og Romsdal;Ørsta, Ørsta, Møre og Romsdal;62.1981333;6.127590199999999
3432;Lesja;Lesja;Innlandet;Lesja, Lesja, Innlandet;62.11841510000001;8.8633475
3429;Folldal;Folldal;Innlandet;Folldal, Folldal, Innlandet;62.13245779999999;9.9967955
3428;Alvdal;Alvdal;Innlandet;Alvdal, Alvdal, Innlandet;62.1085597;10.6340715
1577;Volda;Volda;Møre og Romsdal;Volda, Volda, Møre og Romsdal;62.1452551;6.0747977
1511;Vanylven;Fiskåbygd;Møre og Romsdal;Fiskåbygd, Vanylven, Møre og Romsdal;62.100751;5.5581169
3431;Dovre;Dovre;Innlandet;Dovre, Dovre, Innlandet;61.9866693;9.2496865
4649;Stad;Nordfjordeid;Vestland;Nordfjordeid, Stad, Vestland;61.9120409;5.985717999999999
3433;Skjåk;Bismo;Innlandet;Bismo, Skjåk, Innlandet;61.8811642;8.2688756
4651;Stryn;Stryn;Vestland;Stryn, Stryn, Vestland;61.9044329;6.7229249
3425;Engerdal;Engerdal;Innlandet;Engerdal, Engerdal, Innlandet;61.7590681;11.9594542
3435;Vågå;Vågåmo;Innlandet;Vågåmo, Vågå, Innlandet;61.87517010000001;9.0966266
4648;Bremanger;Svelgen;Vestland;Svelgen, Bremanger, Vestland;61.7685237;5.2955095
